ID,Longitude,Latitude,PO_ID,Cent3_ID,Population,Client_ID,Facility_ID,Min_Cost
56481989,-71460632,41807484,,116,1071,56481989,56481980,2.190382
56481990,-71458294,41810360,,340,1677,56481990,56481980,1.747739
56481991,-71455051,41808097,,207,996,56481991,56481980,1.72865
56481992,-71452381,41811718,,635,1607,56481992,56481980,0.995797
56481993,-71450535,41808409,,12,1370,56481993,56481980,1.36454
56481994,-71446512,41808849,,237,1177,56481994,56481980,1.387292
56481995,-71444444,41808405,,633,1346,56481995,56481980,1.507215
56481996,-71438818,41806192,,482,1328,56481996,56481980,1.813125
56481997,-71434719,41803792,,210,1784,56481997,56481981,1.809779
56481998,-71436512,41808569,,697,1007,56481998,56481980,1.669118
56481999,-71437656,41810387,,114,1259,56481999,56481980,1.604139
56482000,-71467801,41837230,,336,2322,56482000,56481980,3.495782
56482001,-71465385,41812351,,687,1098,56482001,56481980,1.810621
56482002,-71460834,41815712,,6,1198,56482002,56481980,1.488673
56482003,-71465715,41821054,,93,1025,56482003,56481980,1.786144
56482004,-71462973,41823830,,806,1299,56482004,56481980,1.374814
56482005,-71457695,41815799,,117,1231,56482005,56481980,1.183145
56482006,-71454914,41819961,,484,1693,56482006,56481980,0.747374
56482007,-71453285,41814455,,715,868,56482007,56481980,0.893771
56482008,-71452904,41816602,,62,869,56482008,56481980,0.529282
56482009,-71455345,41827835,,323,986,56482009,56481980,2.150608
56482010,-71451301,41823831,,287,665,56482010,56481980,1.529074
56482011,-71451294,41827045,,288,1476,56482011,56481980,2.012425
56482012,-71456818,41830789,,490,1350,56482012,56481980,2.34727
56482013,-71451984,41830755,,118,766,56482013,56481980,2.491494
56482014,-71451687,41834913,,15,655,56482014,56481984,2.84746
56482015,-71457830,41840029,,812,314,56482015,56481984,2.491714
56482016,-71447521,41815464,,248,753,56482016,56481980,0.14636
56482017,-71445332,41812578,,584,1419,56482017,56481980,0.965389
56482018,-71443748,41819380,,23,953,56482018,56481980,0.814379
56482019,-71449893,41820888,,683,833,56482019,56481980,1.069553
56482020,-71447155,41822651,,750,1116,56482020,56481980,1.278738
56482021,-71442680,41822078,,328,1365,56482021,56481980,0.966659
56482022,-71446323,41827412,,522,1892,56482022,56481980,1.995149
56482023,-71438636,41812245,,481,1093,56482023,56481980,1.641685
56482024,-71435845,41820018,,648,1210,56482024,56481980,1.248279
56482025,-71441284,41827200,,523,1367,56482025,56481980,1.968928
56482026,-71437971,41820320,,322,627,56482026,56481980,1.023802
56482027,-71437435,41827829,,327,941,56482027,56481984,2.016356
56482028,-71446952,41831235,,43,719,56482028,56481980,2.592541
56482029,-71447448,41834879,,341,1247,56482029,56481984,2.39485
56482030,-71448154,41837461,,167,673,56482030,56481984,2.145805
56482031,-71450382,41844139,,732,1391,56482031,56481984,1.628531
56482032,-71441612,41830867,,700,1163,56482032,56481984,2.056254
56482033,-71441532,41833780,,663,758,56482033,56481984,1.923635
56482034,-71434677,41836130,,356,1109,56482034,56481984,0.841843
56482035,-71441539,41836876,,783,655,56482035,56481984,1.562406
56482036,-71441696,41839918,,524,706,56482036,56481984,1.217762
56482037,-71436378,41840366,,120,741,56482037,56481984,1.098591
56482038,-71449600,41850319,,496,711,56482038,56481984,2.32438
56482039,-71445366,41845854,,121,1181,56482039,56481984,1.704367
56482040,-71440792,41845718,,342,915,56482040,56481984,1.741938
56482041,-71441851,41852822,,712,2166,56482041,56481984,2.766326
56482042,-71436570,41845230,,246,2248,56482042,56481984,1.807881
56482043,-71434720,41855893,,464,1461,56482043,56481984,3.150041
56482044,-71433143,41794763,,370,1134,56482044,56481981,0.949071
56482045,-71426605,41787428,,360,890,56482045,56481981,0.765374
56482046,-71426385,41791390,,483,970,56482046,56481981,0.93337
56482047,-71423324,41793917,,437,853,56482047,56481981,0.274431
56482048,-71428760,41798770,,225,918,56482048,56481981,0.893094
56482049,-71432056,41807431,,198,1451,56482049,56481981,1.734722
56482050,-71433601,41811515,,52,995,56482050,56481980,1.723274
